ordem_coluna,variavel,classe_r,tipo_r,nivel_conceitual,unidade,origem,descricao,cuidado_interpretativo
24,dependencia_administrativa_2024,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável dependencia administrativa 2024. Consulte a origem e o módulo de criação para definição operacional.,
25,situacao_funcionamento_2024,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável situacao funcionamento 2024. Consulte a origem e o módulo de criação para definição operacional.,
26,municipalizada_apos_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável municipalizada apos 2024. Consulte a origem e o módulo de criação para definição operacional.,
27,privada_vinculada_final,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável privada vinculada final. Consulte a origem e o módulo de criação para definição operacional.,
28,matriculas_anos_iniciais,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Matrículas nos anos iniciais segundo o contexto de 2024.,
29,turmas_anos_iniciais,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Número de turmas dos anos iniciais no contexto de 2024.,
30,docentes_anos_iniciais,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Número de docentes dos anos iniciais no contexto de 2024.,
31,alunos_por_turma_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável alunos por turma anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
32,alunos_por_docente_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável alunos por docente anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
33,pct_matriculas_anos_iniciais_integral,numeric,double,"escola, repetida na base escola × série",percentual ou ponto percentual,dim_contexto_escola_2024_final.csv,Variável pct matriculas anos iniciais integral. Consulte a origem e o módulo de criação para definição operacional.,
34,pct_matriculas_educacao_especial,numeric,double,"escola, repetida na base escola × série",percentual ou ponto percentual,dim_contexto_escola_2024_final.csv,Variável pct matriculas educacao especial. Consulte a origem e o módulo de criação para definição operacional.,
35,pct_matriculas_transporte_publico,numeric,double,"escola, repetida na base escola × série",percentual ou ponto percentual,dim_contexto_escola_2024_final.csv,Variável pct matriculas transporte publico. Consulte a origem e o módulo de criação para definição operacional.,
36,pct_matriculas_preta_parda_indigena,numeric,double,"escola, repetida na base escola × série",percentual ou ponto percentual,dim_contexto_escola_2024_final.csv,Variável pct matriculas preta parda indigena. Consulte a origem e o módulo de criação para definição operacional.,
37,numero_etapas_amplas_ofertadas,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável numero etapas amplas ofertadas. Consulte a origem e o módulo de criação para definição operacional.,
38,indice_infraestrutura_basica,numeric,double,"escola, repetida na base escola × série",índice,dim_contexto_escola_2024_final.csv,Índice descritivo de disponibilidade de infraestrutura básica em 2024.,
39,quartil_infraestrutura_escola,character,character,"escola, repetida na base escola × série",não aplicável,base_contexto_desempenho_estratos_corrigidos.csv,Estrato de infraestrutura corrigido no nível da escola pelo módulo 13A.,
40,faixa_porte_contextual_escola,character,character,"escola, repetida na base escola × série",não aplicável,base_contexto_desempenho_estratos_corrigidos.csv,Faixa de porte contextual corrigida no nível da escola pelo módulo 13A.,
41,estratos_corrigidos_disponiveis,logical,logical,"escola, repetida na base escola × série",não aplicável,derivada no módulo 15,Variável estratos corrigidos disponiveis. Consulte a origem e o módulo de criação para definição operacional.,
42,previstos_2025,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Estudantes previstos na primeira avaliação formativa de 2025.,
43,avaliados_2025,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Estudantes avaliados na primeira avaliação formativa de 2025.,
44,taxa_participacao_2025,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de participação observado em 2025.,
45,proficiencia_media_2025,numeric,double,escola × série,escala de proficiência,variacao_escola_serie_com_qualidade.csv,Proficiência média ponderada pelos avaliados em 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
46,pct_defasagem_2025,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão defasagem em 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
47,pct_intermediario_2025,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão intermediário em 2025.,
48,pct_adequado_2025,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão adequado em 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
49,previstos_2026,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Estudantes previstos na primeira avaliação formativa de 2026.,
50,avaliados_2026,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Estudantes avaliados na primeira avaliação formativa de 2026.,
51,taxa_participacao_2026,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de participação observado em 2026.,
52,proficiencia_media_2026,numeric,double,escola × série,escala de proficiência,variacao_escola_serie_com_qualidade.csv,Proficiência média ponderada pelos avaliados em 2026.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
53,pct_defasagem_2026,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão defasagem em 2026.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
54,pct_intermediario_2026,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão intermediário em 2026.,
55,pct_adequado_2026,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Percentual de estudantes no padrão adequado em 2026.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
56,peso_medio_avaliados,numeric,double,escola × série,contagem,derivada no módulo 15,"Média do número de avaliados em 2025 e 2026, usada apenas como peso descritivo.",
57,delta_participacao,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Diferença em pontos percentuais entre participação de 2026 e 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
58,delta_proficiencia,numeric,double,escola × série,escala de proficiência,variacao_escola_serie_com_qualidade.csv,Diferença observada entre proficiência de 2026 e 2025; sem interpretação causal.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
59,delta_pct_defasagem,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Diferença em pontos percentuais no padrão defasagem entre 2026 e 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
60,delta_pct_intermediario,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Diferença em pontos percentuais no padrão intermediário entre 2026 e 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
61,delta_pct_adequado,numeric,double,escola × série,percentual ou ponto percentual,variacao_escola_serie_com_qualidade.csv,Diferença em pontos percentuais no padrão adequado entre 2026 e 2025.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
62,variacao_relativa_previstos,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variação percentual do número de previstos entre 2025 e 2026.,
63,variacao_relativa_avaliados,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variação percentual do número de avaliados entre 2025 e 2026.,
64,observacao_composicao,character,character,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,"Alerta descritivo sobre mudanças de participação, público previsto ou baixo número de avaliados.",
65,numero_turmas_2025,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável numero turmas 2025. Consulte a origem e o módulo de criação para definição operacional.,
66,numero_turmas_2026,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável numero turmas 2026. Consulte a origem e o módulo de criação para definição operacional.,
67,presente_2025,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável presente 2025. Consulte a origem e o módulo de criação para definição operacional.,
68,presente_2026,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável presente 2026. Consulte a origem e o módulo de criação para definição operacional.,
69,resultado_disponivel_2025,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável resultado disponivel 2025. Consulte a origem e o módulo de criação para definição operacional.,
70,resultado_disponivel_2026,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável resultado disponivel 2026. Consulte a origem e o módulo de criação para definição operacional.,
71,delta_numero_turmas,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável delta numero turmas. Consulte a origem e o módulo de criação para definição operacional.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
72,delta_previstos,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável delta previstos. Consulte a origem e o módulo de criação para definição operacional.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
73,delta_avaliados,numeric,double,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável delta avaliados. Consulte a origem e o módulo de criação para definição operacional.,Resultado observacional; não atribuir causalmente ao assessoramento ou à assessora.
74,participacao_minima_70_ambos,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável participacao minima 70 ambos. Consulte a origem e o módulo de criação para definição operacional.,
75,participacao_minima_80_ambos,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável participacao minima 80 ambos. Consulte a origem e o módulo de criação para definição operacional.,
76,participacao_minima_90_ambos,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável participacao minima 90 ambos. Consulte a origem e o módulo de criação para definição operacional.,
77,aumento_participacao_10pp,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável aumento participacao 10pp. Consulte a origem e o módulo de criação para definição operacional.,
78,queda_participacao_10pp,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável queda participacao 10pp. Consulte a origem e o módulo de criação para definição operacional.,
79,mudanca_previstos_20pct,logical,logical,escola × série,contagem,variacao_escola_serie_com_qualidade.csv,Variável mudanca previstos 20pct. Consulte a origem e o módulo de criação para definição operacional.,
80,turma_escola_pequena_2025,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável turma escola pequena 2025. Consulte a origem e o módulo de criação para definição operacional.,
81,turma_escola_pequena_2026,logical,logical,escola × série,não aplicável,variacao_escola_serie_com_qualidade.csv,Variável turma escola pequena 2026. Consulte a origem e o módulo de criação para definição operacional.,
82,nome_inep,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável nome inep. Consulte a origem e o módulo de criação para definição operacional.,
83,metodo_correspondencia_inep,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável metodo correspondencia inep. Consulte a origem e o módulo de criação para definição operacional.,
84,status_codigo_inep,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável status codigo inep. Consulte a origem e o módulo de criação para definição operacional.,
85,observacao_codigo_inep,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável observacao codigo inep. Consulte a origem e o módulo de criação para definição operacional.,
86,tipo_vinculo_rede,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável tipo vinculo rede. Consulte a origem e o módulo de criação para definição operacional.,
87,exposicao_2025_1av,integer,integer,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável exposicao 2025 1av. Consulte a origem e o módulo de criação para definição operacional.,
88,programa_iniciado_apos_2025_1av,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável programa iniciado apos 2025 1av. Consulte a origem e o módulo de criação para definição operacional.,
89,dose_assessoramento_observada,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável dose assessoramento observada. Consulte a origem e o módulo de criação para definição operacional.,
90,possivel_municipalizacao_recente,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável possivel municipalizacao recente. Consulte a origem e o módulo de criação para definição operacional.,
91,escola_nova_recente,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável escola nova recente. Consulte a origem e o módulo de criação para definição operacional.,
92,status_rede_2025,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável status rede 2025. Consulte a origem e o módulo de criação para definição operacional.,
93,observacao_historico,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável observacao historico. Consulte a origem e o módulo de criação para definição operacional.,
94,status_validacao,character,character,"escola, repetida na base escola × série",não aplicável,dim_escola.csv | dim_contexto_escola_2024_final.csv,Variável status validacao. Consulte a origem e o módulo de criação para definição operacional.,
95,ano_contexto,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável ano contexto. Consulte a origem e o módulo de criação para definição operacional.,
96,fonte_contexto,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável fonte contexto. Consulte a origem e o módulo de criação para definição operacional.,
97,contexto_pre_programa,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável contexto pre programa. Consulte a origem e o módulo de criação para definição operacional.,
98,rede,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável rede. Consulte a origem e o módulo de criação para definição operacional.,
99,tipo_categoria_escola_privada,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo categoria escola privada. Consulte a origem e o módulo de criação para definição operacional.,
100,tipo_localizacao,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo localizacao. Consulte a origem e o módulo de criação para definição operacional.,
101,tipo_localizacao_diferenciada,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo localizacao diferenciada. Consulte a origem e o módulo de criação para definição operacional.,
102,tipo_situacao_funcionamento,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo situacao funcionamento. Consulte a origem e o módulo de criação para definição operacional.,
103,poder_publico_parceria,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável poder publico parceria. Consulte a origem e o módulo de criação para definição operacional.,
104,tipo_poder_publico_parceria,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo poder publico parceria. Consulte a origem e o módulo de criação para definição operacional.,
105,conveniada_poder_publico,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável conveniada poder publico. Consulte a origem e o módulo de criação para definição operacional.,
106,tipo_convenio_poder_publico,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo convenio poder publico. Consulte a origem e o módulo de criação para definição operacional.,
107,porte_anos_iniciais,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável porte anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
108,quartil_porte_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quartil porte anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
109,ano,integer,integer,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável ano. Consulte a origem e o módulo de criação para definição operacional.,
110,sigla_uf,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável sigla uf. Consulte a origem e o módulo de criação para definição operacional.,
111,id_municipio,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável id municipio. Consulte a origem e o módulo de criação para definição operacional.,
112,vinculo_secretaria_educacao,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável vinculo secretaria educacao. Consulte a origem e o módulo de criação para definição operacional.,
113,etapa_ensino_infantil,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino infantil. Consulte a origem e o módulo de criação para definição operacional.,
114,etapa_ensino_fundamental,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino fundamental. Consulte a origem e o módulo de criação para definição operacional.,
115,etapa_ensino_fundamental_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino fundamental anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
116,etapa_ensino_fundamental_anos_finais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino fundamental anos finais. Consulte a origem e o módulo de criação para definição operacional.,
117,etapa_ensino_medio,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino medio. Consulte a origem e o módulo de criação para definição operacional.,
118,etapa_ensino_eja,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino eja. Consulte a origem e o módulo de criação para definição operacional.,
119,etapa_ensino_especial,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável etapa ensino especial. Consulte a origem e o módulo de criação para definição operacional.,
120,quantidade_matricula_educacao_basica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula educacao basica. Consulte a origem e o módulo de criação para definição operacional.,
121,quantidade_matricula_infantil,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula infantil. Consulte a origem e o módulo de criação para definição operacional.,
122,quantidade_matricula_fundamental,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental. Consulte a origem e o módulo de criação para definição operacional.,
123,quantidade_matricula_fundamental_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
124,quantidade_matricula_fundamental_1_ano,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental 1 ano. Consulte a origem e o módulo de criação para definição operacional.,
125,quantidade_matricula_fundamental_2_ano,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental 2 ano. Consulte a origem e o módulo de criação para definição operacional.,
126,quantidade_matricula_fundamental_3_ano,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental 3 ano. Consulte a origem e o módulo de criação para definição operacional.,
127,quantidade_matricula_fundamental_4_ano,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental 4 ano. Consulte a origem e o módulo de criação para definição operacional.,
128,quantidade_matricula_fundamental_5_ano,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental 5 ano. Consulte a origem e o módulo de criação para definição operacional.,
129,quantidade_matricula_fundamental_anos_finais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental anos finais. Consulte a origem e o módulo de criação para definição operacional.,
130,quantidade_matricula_eja,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula eja. Consulte a origem e o módulo de criação para definição operacional.,
131,quantidade_matricula_especial,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula especial. Consulte a origem e o módulo de criação para definição operacional.,
132,quantidade_matricula_especial_comum,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula especial comum. Consulte a origem e o módulo de criação para definição operacional.,
133,quantidade_matricula_especial_exclusiva,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula especial exclusiva. Consulte a origem e o módulo de criação para definição operacional.,
134,quantidade_matricula_feminino,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula feminino. Consulte a origem e o módulo de criação para definição operacional.,
135,quantidade_matricula_masculino,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula masculino. Consulte a origem e o módulo de criação para definição operacional.,
136,quantidade_matricula_branca,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula branca. Consulte a origem e o módulo de criação para definição operacional.,
137,quantidade_matricula_preta,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula preta. Consulte a origem e o módulo de criação para definição operacional.,
138,quantidade_matricula_parda,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula parda. Consulte a origem e o módulo de criação para definição operacional.,
139,quantidade_matricula_amarela,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula amarela. Consulte a origem e o módulo de criação para definição operacional.,
140,quantidade_matricula_indigena,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula indigena. Consulte a origem e o módulo de criação para definição operacional.,
141,quantidade_matricula_nao_declarada,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula nao declarada. Consulte a origem e o módulo de criação para definição operacional.,
142,quantidade_matricula_fundamental_integral,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental integral. Consulte a origem e o módulo de criação para definição operacional.,
143,quantidade_matricula_fundamental_anos_iniciais_integral,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental anos iniciais integral. Consulte a origem e o módulo de criação para definição operacional.,
144,quantidade_matricula_fundamental_anos_finais_integral,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula fundamental anos finais integral. Consulte a origem e o módulo de criação para definição operacional.,
145,quantidade_matricula_utiliza_transporte_publico,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade matricula utiliza transporte publico. Consulte a origem e o módulo de criação para definição operacional.,
146,quantidade_docente_educacao_basica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade docente educacao basica. Consulte a origem e o módulo de criação para definição operacional.,
